FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,False,-0.172,-2.062,9.883,17.471,13.809,12.245,21.473000000000006,15.147,14.777,21.608,5.158,7.436,3.962,9.448,9.811,14.777,13.065,12.146,13.961,8.044,5.522,-4.475,3.093,-5.695,-6.1560000000000015,-13.05,-24.13,-29.57,-38.381,-21.993,-19.765,-20.465,-21.699,-27.01,-28.711,-41.652,-24.742,-26.8,-15.973,-23.824,-24.369,-38.65,-53.356
01003,Baldwin County,Alabama,False,16.863,9.804,10.74,20.004,12.529000000000002,12.954,17.837,16.644000000000002,7.085,13.468,4.208,6.746,8.484,15.61,19.35,10.372,10.857,16.55,15.406,14.838,15.513,15.836,9.027,1.295,-2.519,-13.988,-27.805,-38.523,-40.152,-35.25199999999999,-35.667,-33.51,-35.652,-36.43,-43.147,-46.902,-41.407,-43.147,-35.942,-40.306,-39.354,-48.137,-55.175
01005,Barbour County,Alabama,False,3.272,4.762,4.811,18.402,19.427,16.582,11.773,17.454,20.879,28.866,4.8610000000000015,13.694,17.347,10.961,17.454,19.78,9.622,11.459,17.197,24.234,12.584,17.090999999999998,17.582,6.872999999999998,7.6389999999999985,1.911,-4.592,-11.502,-18.909,-10.623,-16.838,-10.069,-14.013,-14.286,-15.02,-26.546,-14.652,-22.681,-6.597,-9.554,-9.184,-22.057,-40.363
01007,Bibb County,Alabama,False,-4.797,1.513,6.519,15.326,21.915,5.317,22.578000000000007,19.861,8.331,18.114,3.647,14.382,5.317,16.772000000000002,11.640999999999998,22.725,12.316,8.757,16.436,12.764,21.288,2.738,15.149,3.621,2.187,-0.687,-9.577,-10.325,-35.619,-15.911,-11.595999999999998,-9.491,-5.482,-8.513,-10.325,-24.66,-13.639,-18.843,-8.032,-8.222000000000001,-9.577,-12.261,-41.783
01009,Blount County,Alabama,False,3.571,0.625,5.935,13.873,15.16,8.176,18.765,15.11,10.312,34.124,6.648,7.7120000000000015,6.08,19.477,14.835,11.875,10.089,2.6010000000000004,17.021,6.499,19.002,-11.538,3.438,-9.792,-17.340999999999998,-19.415,-27.673,-23.516,-38.187,-30.312,-29.97,-24.277,-26.33,-28.512,-21.378,-36.264,-22.813,-28.487,-18.786,-22.873,-19.916,-23.278,-48.627
01011,Bullock County,Alabama,True,,,,,,18.643,,,,,,,3.393,,,,,,,3.393,,,,,,,-15.251,,,,,,,-37.286,,,,,,,-22.036,,
01013,Butler County,Alabama,False,15.493,-7.0539999999999985,15.79,39.109,27.659,20.0,15.517,38.028,7.883999999999999,41.62600000000001,18.812,18.298,6.154,19.827,25.352,7.0539999999999985,12.44,27.227,22.128,12.308,16.896,24.413,3.735,2.8710000000000004,10.396,-1.276,-20.0,-26.897,-33.334,-31.121,-17.704,-10.396,-22.554,-27.692,-28.965,-36.62,-34.855,-24.881,-5.4460000000000015,-23.404,-26.769,-41.035,-46.949
01015,Calhoun County,Alabama,False,2.963,-8.468,9.891,18.544,16.163,14.965,17.635,26.934,5.2170000000000005,33.985,7.616,6.26,8.939,15.353,14.921,10.488,10.294,7.671,14.675,6.15,3.154,-9.27,-1.682,-5.865,-12.472,-17.085,-28.085,-36.39,-43.883,-38.026,-28.694000000000006,-25.551,-24.987,-29.069000000000006,-36.058,-39.769,-30.173,-33.007,-21.633000000000006,-29.297,-28.659,-40.664,-53.154
01017,Chambers County,Alabama,False,13.626,-2.696,19.805,24.887,31.18,19.231,14.311,27.483,17.402,24.206,11.086,16.035999999999998,13.811,11.837,17.09,21.078000000000007,23.227,16.29,21.826,14.336,10.954,8.083,9.436,-1.956,-4.751,-4.009,-12.763,-24.912,-32.333,-25.0,-21.516,-24.66,-15.145,-23.077,-27.915,-33.95,-25.735,-33.008,-19.231,-18.263,-25.7,-39.223,-45.958
01019,Cherokee County,Alabama,False,-4.669,-12.034,7.377000000000002,12.057,13.139,5.67,16.323,18.695,5.096,34.566,9.825,9.749,8.004,16.323,14.49,13.43,10.142,14.29,16.105,10.337,11.809,-7.473,3.708,-6.909,-14.728,-13.132,-20.996,-21.524,-27.099,-32.867,-32.255,-22.764,-21.182,-24.33,-17.704,-24.296,-21.293000000000006,-27.646,-17.854,-15.674,-9.663,-22.913,-41.118
01021,Chilton County,Alabama,False,-3.1630000000000003,-2.222,9.02,16.55,17.45,11.675,21.113000000000003,23.601,9.876,32.216,3.263,9.843,4.5680000000000005,13.628,16.545,12.593,13.917,6.76,15.213,4.061,13.819,2.677,3.4560000000000004,1.031,-12.82,-14.541,-25.888,-23.8,-40.876,-29.136,-23.196,-29.371,-27.517,-31.472,-30.327,-41.119,-30.124,-30.155,-24.476,-28.859,-29.103,-33.59,-49.149
01023,Choctaw County,Alabama,True,,,,,,23.077,,,,,,,19.234,,,,,,,17.305999999999994,,,,,,,-7.693,,,,,,,-13.463,,,-17.070999999999998,-32.892,,,-13.463,,
01025,Clarke County,Alabama,False,1.209,4.255,7.041,21.554,17.088,16.838,19.571,24.999,23.758000000000006,30.633000000000006,11.66,21.202,11.657,13.761,7.661,17.375,11.619000000000002,18.727,16.137999999999998,14.248,21.406,13.709,15.248,5.2810000000000015,-0.001,-7.596,-12.177,-17.738,-28.226,-6.029,-17.958,-12.722,-19.621,-16.581,-16.82,-27.017,-16.313,-21.479,0.353,-18.672,-15.286,-25.689,-40.323
01027,Clay County,Alabama,True,,-21.054,-0.002,14.032,7.81,13.747,13.33,,-12.28,,-0.002,-4.69,8.747,8.331,,1.7519999999999998,14.812,-3.511,4.685,-1.252,-3.335,,-14.037,-16.668,-14.037,-18.752,-28.751,-31.667,,-63.158,-33.334,-21.054,-31.251,-30.001,-33.334,,-29.825,-64.814,-29.825,-29.688,-28.751,-43.334,
01029,Cleburne County,Alabama,True,,,,,,15.519,,,,,,,1.727,,,,,,,-6.893,,,,,-24.998,-35.712,-34.481,-26.664,-43.242,-44.735,-42.49800000000001,-34.998000000000005,-38.093,-44.826,-22.22,,-47.36600000000001,-37.49800000000001,-34.998000000000005,-40.474,-34.481,-19.998,-35.133
01031,Coffee County,Alabama,False,7.665,-1.223,17.55,32.095,26.98,19.469,26.647,21.951,16.12,37.69300000000001,13.014,18.514,12.312,21.664,14.732,13.275,22.442,24.847,22.614,14.522,18.42,8.567,4.332,7.334,8.28,-4.104,-15.687,-19.238,-27.07,-23.715,-14.679,-9.914,-14.95,-17.898,-22.019,-27.521,-27.645,-25.614,-6.66,-13.892,-20.424,-27.349,-41.806
01033,Colbert County,Alabama,False,-1.31,-4.091,4.912,11.294,9.976,12.541,23.218000000000004,18.526,7.914,22.102,8.981,8.854,10.734000000000002,23.097,17.215,6.822,9.278,7.62,11.223,10.628,8.103,-9.835,-6.001,-7.502000000000002,-15.373,-19.949,-29.542,-33.131,-31.638,-33.968,-41.472,-26.801,-27.555,-25.929,-26.238000000000003,-30.327,-34.651,-33.287,-23.536,-28.054,-20.828000000000007,-29.382,-45.245
01035,Conecuh County,Alabama,False,47.361,-13.438,55.349,18.637,17.823,11.164,29.844,36.835,-17.915,36.6,-10.175,6.971,-8.516,16.412,21.046,-17.915,3.5660000000000003,5.079,8.521,10.1,19.397,15.783,-23.885,-16.077,-30.513,-19.384,-46.812,-46.272,-49.127,-65.675,-46.432,-44.07100000000001,-44.19,-59.578,-47.765,-49.127,-58.212,-53.575,-45.76600000000001,-53.492,-42.557,-59.705,-64.915
01037,Coosa County,Alabama,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Covington County,Alabama,False,0.0,5.6179999999999986,8.967,23.622,22.464,20.992,26.078000000000007,35.348,21.629,42.935,10.236,16.908,16.602999999999998,17.673,16.918,15.731,12.772,19.16,16.908,17.939,12.069,11.782,5.6179999999999986,6.25,0.263,-4.589,-15.076,-26.293000000000006,-28.701,-19.944000000000006,-14.945,-21.26,-19.323,-25.954,-30.819000000000006,-37.462,-22.472,-28.533,-14.961,-23.43,-23.855,-35.345,-47.432
01041,Crenshaw County,Alabama,False,11.32,16.98,8.771,33.884,19.402,17.045,52.499,33.962,35.848,50.877,12.396,-8.956,10.226,17.499000000000002,35.848,37.735,14.034,20.66,14.924,2.272,17.499000000000002,16.98,26.415,3.508,10.743,-8.956,-22.728,-13.751,-49.057,-16.982,-24.562,-28.926,-32.836,-38.637,-41.25100000000001,-56.605,-56.605,-56.14100000000001,-38.017,-31.344,-38.637,-40.001,-58.49100000000001
01043,Cullman County,Alabama,False,3.46,-3.987,8.135,13.921,11.726,8.54,14.717,15.321,4.652,26.87,6.56,5.457999999999998,9.6,16.586,12.191,8.971,10.107,5.44,8.776,3.593,7.721,-10.625,0.249,-10.517,-13.759,-16.298,-25.147,-32.087,-36.079,-28.405,-24.568,-22.56,-23.303,-25.794,-31.423,-32.784,-29.817,-30.402,-24.08,-28.834,-26.796,-41.556,-52.8
01045,Dale County,Alabama,False,-1.713,-4.562,6.521,12.998,10.062,13.649,17.715,15.845,12.591,36.232,-1.907,6.917999999999998,8.496,12.086,8.779,13.321,14.492,9.705,7.233,11.003,10.265,4.496,6.934,-0.906,-4.6789999999999985,-19.811,-17.27,-22.683000000000003,-25.268,-19.89,-22.464,-24.09,-26.101,-24.374,-25.166,-34.047,-28.468000000000004,-28.623,-23.57,-27.987,-23.817,-30.298,-43.683
01047,Dallas County,Alabama,False,-7.598,-3.946,7.44,30.801,35.718,27.997,51.95399999999999,123.688,24.208,33.337,10.433,22.265,14.184,18.895,22.519,23.571,16.927,12.887,20.718000000000004,9.396,10.271,1.1740000000000002,10.322,0.773,-2.818,3.813,-11.598,-12.728,-19.587,-17.958,-12.56,-10.671,-12.377,-16.570999999999998,-22.173,-26.605,-23.308000000000003,-22.304,-7.972,-13.567,-13.809,-27.306,-37.131
01049,DeKalb County,Alabama,False,0.0,-4.601,4.018,14.583,15.139,13.384,18.23,17.949,0.767,20.833,10.119,8.101,13.928,17.377,12.368,14.57,4.464,12.202,9.562,9.249,3.624,-8.068999999999999,-7.822,-11.161,-16.518,-19.123,-27.965,-36.461,-41.629,-40.031,-39.286,-28.423,-28.154,-27.53,-37.313,-38.462,-32.822,-40.327,-29.465,-31.607,-24.918000000000006,-42.431,-52.338
01051,Elmore County,Alabama,False,1.579,-10.769,8.449,20.081,14.547,16.099,21.675,24.408,2.937,19.442,3.739,8.187000000000001,10.147,24.357,18.09,7.379,16.653,16.179000000000002,16.666,9.524,4.324,-0.431,-3.389,-1.395,-5.041,-15.863,-25.681,-32.786,-43.288,-32.154,-23.954,-22.033,-24.781,-28.402,-33.881,-40.058,-30.799,-28.548,-15.285,-22.442,-24.773000000000003,-38.15,-47.452
01053,Escambia County,Alabama,False,8.337,-1.388,6.028,31.046,20.193,12.814,19.453,21.166,8.552999999999999,23.9,7.504,12.268,7.7189999999999985,9.729,13.82,9.348,8.237,14.795,14.532,9.902,7.622000000000001,7.68,-0.394,-6.221,-6.246,-13.204,-17.9,-27.387,-29.602,-20.473,-20.478,-13.746,-19.43,-26.051,-29.656,-35.084,-28.226,-29.715,-13.121,-24.336,-25.178,-37.435,-38.593
01055,Etowah County,Alabama,False,1.827,-4.447,8.693999999999999,19.944000000000006,15.481,14.695,19.498,21.463,7.175,39.436,14.032,7.707999999999998,12.826,13.785,16.244,11.479,6.857,11.326,9.392,4.363,4.089,-16.828,-4.231,-14.133,-13.318,-21.307,-29.386,-35.77,-45.661,-37.517,-28.55,-23.86,-30.893,-32.242,-39.36,-46.77,-32.639,-38.303,-20.298,-30.828000000000007,-29.075,-42.662,-57.533
01057,Fayette County,Alabama,False,-9.782,-7.546,7.62,22.431,15.045,17.393,13.446,20.654,4.718,31.43,7.478,10.621,8.697000000000001,4.203,15.219,6.605,8.573,-0.933,18.585,7.247999999999998,5.884,-14.129,1.888,-11.428,-12.148,-9.733,-17.39,-25.209,-27.172,-25.471,-26.665,-20.56,-21.237,-17.39,-20.167,-22.825,-32.074,-33.332,-10.279000000000002,-14.158,-2.173,-18.486,-39.129
01059,Franklin County,Alabama,False,3.184,3.264,11.873,26.119,16.39,16.754,18.233,9.897,14.857,24.82,22.016,15.052,8.508,11.880999999999998,9.897,11.959,10.434,14.181,16.39,16.754,7.4620000000000015,-12.361,2.54,-4.671,-2.98,-13.705,-17.261,-22.644,-31.792,-17.384,-27.689,-16.784000000000002,-18.053,-13.395,-20.71,-26.493,-20.644,-25.171,-7.457000000000002,-18.387,-10.561,-26.787,-45.218
01061,Geneva County,Alabama,False,3.305,3.395,2.494,23.92,14.994000000000002,16.588,12.929,18.537,31.287,43.744,13.491,14.438,10.911,8.451,6.6160000000000005,13.6,11.869000000000002,10.423,12.216,11.348,3.477,5.292000000000002,19.041,4.369,1.221,-3.895,-13.98,-16.424,-26.496,-9.53,-22.506,-15.344,-21.673,-24.46,-20.902,-33.781,-14.972,-33.756,-4.914,-12.228,-17.037,-23.886,-41.728
01063,Greene County,Alabama,True,,,,,,,37.73,,,,,,,24.524,,,,,,6.381,11.318,,,,,,,,,,,,,,,,,,,,,,
01065,Hale County,Alabama,True,,-16.984,-5.6629999999999985,16.361,35.183,16.175,,,-3.776,20.752,-5.456,3.702,10.292,,,-1.889,-0.002,5.452000000000001,18.517,1.469,,,9.432,-16.984,-21.82,-22.224,-41.178,-41.465,,-30.191,-26.417,-27.275,-22.224,-30.885,-46.343,,-26.417,-39.624,-20.002,-25.928,-19.12,-41.465,
01067,Henry County,Alabama,False,5.971,-11.995,0.992,13.83,8.824,13.935,0.983,11.941,4.002,9.902,-10.634,0.983,13.115,1.963,17.91,6.002000000000002,2.972,4.257,17.646,4.92,-1.958,-7.459,-10.996,-12.866,-11.698,-21.562,-30.32,-31.365,-40.29,-36.991,-35.635,-22.334,-28.425,-29.501,-32.345,-46.258,-42.99,-45.535,-24.461,-32.345,-22.125,-41.167,-49.243
01069,Houston County,Alabama,False,2.022,-4.644,5.848,23.876,17.897000000000006,14.48,19.19,21.538,13.154000000000002,19.157,5.7570000000000014,10.054,11.817,13.125,14.918,8.418,8.255,16.048,9.7,7.622000000000001,-0.727,-0.695,-1.3430000000000002,-8.546,-6.2570000000000014,-17.372,-27.767,-41.147,-41.011,-30.912,-29.735,-27.28,-31.594,-31.598000000000006,-42.801,-45.705,-35.985,-39.88,-25.459,-32.259,-35.173,-50.451,-57.81
01071,Jackson County,Alabama,False,7.462999999999999,-6.244,12.021,14.165,10.855,11.148,20.034,24.243,5.3610000000000015,27.438,8.801,8.142000000000001,8.323,16.422,18.649,9.824,9.073,10.732,8.918,3.457,2.467,-6.754,-3.12,-11.558,-16.730999999999998,-18.597,-35.625,-39.562,-34.489000000000004,-35.481,-37.405,-27.674,-29.254,-33.114000000000004,-33.159,-31.459,-31.24,-35.36400000000001,-27.888,-30.029,-27.778,-41.69600000000001,-48.705
01073,Jefferson County,Alabama,False,-2.419,-6.089,5.4689999999999985,10.868,10.585,10.148,14.083,12.304,3.594,18.627,2.526,4.31,8.564,12.64,9.111,8.586,5.744,5.524,8.187999999999999,0.192,-2.735,-15.82,-7.832000000000002,-21.583,-24.507,-28.056,-34.757,-44.381,-49.277,-43.495,-38.884,-39.32,-40.169,-41.995,-46.44600000000001,-47.889,-37.975,-40.959,-32.014,-36.993,-35.687,-45.51600000000001,-56.073
