FIPS,County,State,Not_enough_data,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01001,Autauga County,Alabama,False,3.053,-4.961,0.0,5.02,11.024,9.603,9.741,12.595999999999998,3.817,8.077,-3.861,11.811,9.934,10.39,8.015,11.45,11.923,11.583,26.378,50.993,38.312,21.756,22.519,15.77,22.394,27.165,22.848000000000006,11.364,1.909,6.871,2.693,4.634,10.63,12.914,5.8439999999999985,-7.632999999999999,0.764,-4.23,16.989,19.292,36.755,20.13,-8.015
01003,Baldwin County,Alabama,False,19.772,8.537,9.68,19.085,11.153,14.244000000000002,17.012999999999998,22.994,9.974,14.075,5.973,10.675,9.704,21.988000000000003,25.608,13.725,13.993,19.334,28.046,38.476,42.464,48.604,39.024,30.836,30.537,23.743,12.917,2.017,-5.751,-9.02,-8.79,-7.9689999999999985,-10.281,-9.01,-13.557,-18.73,-17.959,-19.287,-4.234,-10.361,-6.0779999999999985,-10.312,-27.006
01005,Barbour County,Alabama,False,-8.594,-18.045,-19.847,-6.977,-5.674,-11.043,-3.497,-2.344,-4.136,0.763,-24.806,-16.312,-4.908,3.4960000000000004,3.125,-9.774,-10.687,-7.752000000000002,-2.128,4.908,20.979,7.0310000000000015,15.037,9.923,3.1,-4.965,4.908,1.399,-14.844,-13.534,-17.557000000000002,-13.954,-13.475,-13.497,-4.895,-19.531,-18.045,-20.611,6.589,-5.674,0.0,3.4960000000000004,-19.531
01007,Bibb County,Alabama,False,-1.868,5.884,11.205,3.202,5.345,-1.921,3.176,5.609,8.405,16.184,-12.798,3.055,2.5660000000000003,4.7639999999999985,1.871,21.01,17.844,5.602,6.109,26.284,28.573,6.544,30.254,21.164,16.002,16.032,26.284,9.526,-7.475,6.724,4.566,1.602,1.528,-1.28,7.145,-10.279000000000002,-12.603,-19.5,12.800999999999998,-0.762,12.181,16.668,-14.951
01009,Blount County,Alabama,False,5.528,-8.621,-1.747,2.252,10.268,4.167,14.575,11.055,-2.155,12.664,0.901,6.697,1.515,8.097000000000001,11.055,4.31,1.747,6.306,22.321,28.409,30.769,17.086,21.121,21.834,17.567,16.518,12.879,11.336,-2.01,-12.069,-7.423999999999999,-4.955,2.232,1.894,6.073,-1.508,-10.345,-6.987,8.558,8.036,20.455,18.218,-17.086
01011,Bullock County,Alabama,True,,,-10.87,4.347,,25.0,11.321,-4.167,2.222,6.521,-4.348,6.122000000000001,-6.25,0.0,0.0,-4.445,,6.521,0.0,25.0,33.018,-2.083,,4.347,4.347,2.04,15.624,0.0,-8.334,-2.222,-17.391,-2.174,-10.204,9.375,-5.6610000000000005,-12.501,-11.111,-15.217,,-4.082,20.312,-7.5470000000000015,-27.084
01013,Butler County,Alabama,False,3.261,-14.679,1.709,0.0,7.272,6.4289999999999985,0.8059999999999999,11.956,2.752,10.257,-22.222,14.546,-0.7140000000000001,0.0,3.261,8.257,-0.855,-0.855,13.637,22.143,27.42,22.826,28.44,6.837999999999999,17.094,27.272,9.286,1.6130000000000002,-3.261,-7.34,-6.41,1.709,-3.637,-0.7140000000000001,1.6130000000000002,-5.435,-9.174,-22.222,6.837999999999999,18.182,16.429000000000002,3.2260000000000004,-8.696
01015,Calhoun County,Alabama,False,0.705,-7.402,-1.336,4.184,-0.13,5.006,7.892,9.027,-2.2880000000000003,14.572,0.136,2.084,2.678,5.549,4.232,5.7879999999999985,2.273,2.4290000000000003,20.183,28.988000000000003,25.155,14.669,25.841,13.503,11.336,13.672,6.752000000000002,-0.616,-15.232,-15.747,-7.887,-7.4220000000000015,-8.073,-3.143,-4.315,-16.502,-12.382,-13.368,7.153,2.084,17.23,12.578,-22.425
01017,Chambers County,Alabama,False,7.143,-7.1770000000000005,9.36,7.143,13.809,6.5310000000000015,9.787,15.817,-0.478,11.823,-2.381,8.095,1.225,1.276,9.184,8.613,11.33,8.095,15.714,28.163,23.83,19.388,21.531,18.719,13.334,27.143,15.51,9.362,-1.02,-5.263,7.8820000000000014,4.2860000000000005,8.095,3.673,3.404,1.02,-7.655,-9.852,8.095,18.095,13.469,10.638,-11.735
01019,Cherokee County,Alabama,False,3.151,-10.255,5.1960000000000015,8.277000000000001,13.424,5.495,19.446,12.599,-1.922,12.988,3.449,4.0280000000000005,1.1,18.751,18.112,10.257,4.547,6.898,24.833,19.782,60.765,19.686,15.386,7.792999999999998,14.484000000000002,14.767,7.144,19.446,0.789,-10.896,-17.207,-4.8260000000000005,1.344,-4.394,27.779,6.3,-12.82,-13.635,-2.068,7.383999999999999,13.737,28.474,-4.724
