State,FIPS,Share_age0to17,Share_age18to64,Share_age65plus,Fatality_ratio_age0to17,Fatality_ratio_age18to64,Fatality_ratio_age65plus,fatality_rate
United States,00000,0.24,0.6,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010749340893482893
Alabama,01000,0.24,0.6,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011208698691648032
Alaska,02000,0.27,0.61,0.12,0.0,0.005666026871401152,0.04593577981651376,0.008968569969536353
Arizona,04000,0.24,0.57,0.18,0.0,0.005666026871401152,0.04593577981651376,0.011498075683671134
Arkansas,05000,0.25,0.59,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011152038422934019
California,06000,0.24,0.61,0.14,0.0,0.005666026871401152,0.04593577981651376,0.00988728556586663
Colorado,08000,0.24,0.62,0.14,0.0,0.005666026871401152,0.04593577981651376,0.009943945834580642
Connecticut,09000,0.22,0.61,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011265358960362043
Delaware,10000,0.22,0.5900000000000001,0.19,0.0,0.005666026871401152,0.04593577981651376,0.012070754019264295
District of Columbia,11000,0.2,0.68,0.12,0.0,0.005666026871401152,0.04593577981651376,0.009365191850534435
Florida,12000,0.21,0.5900000000000001,0.21,0.0,0.005666026871401152,0.04593577981651376,0.01298946961559457
Georgia,13000,0.26,0.6,0.14,0.0,0.005666026871401152,0.04593577981651376,0.009830625297152618
Hawaii,15000,0.23,0.5700000000000001,0.19,0.0,0.005666026871401152,0.04593577981651376,0.011957433481836272
Idaho,16000,0.27,0.57,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010579360087340858
Illinois,17000,0.24,0.6,0.15,0.0,0.005666026871401152,0.04593577981651376,0.010289983095317754
Indiana,18000,0.25,0.59,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010692680624768882
Iowa,19000,0.25,0.58,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011095378154220008
Kansas,20000,0.26,0.58,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010636020356054869
Kentucky,21000,0.24,0.61,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010806001162196904
Louisiana,22000,0.25,0.59,0.15,0.0,0.005666026871401152,0.04593577981651376,0.010233322826603743
Maine,23000,0.19,0.6,0.21,0.0,0.005666026871401152,0.04593577981651376,0.013046129884308581
Maryland,24000,0.23,0.6100000000000001,0.15,0.0,0.005666026871401152,0.04593577981651376,0.010346643364031767
Massachusetts,25000,0.21,0.62,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011322019229076054
Michigan,26000,0.23,0.6,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011208698691648032
Minnesota,27000,0.24,0.6000000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010749340893482893
Mississippi,28000,0.26,0.5800000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.01063602035605487
Missouri,29000,0.24,0.6,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011208698691648032
Montana,30000,0.23,0.58,0.19,0.0,0.005666026871401152,0.04593577981651376,0.012014093750550283
Nebraska,31000,0.26,0.59,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010692680624768882
Nevada,32000,0.24,0.6100000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010806001162196906
New Hampshire,33000,0.2,0.61,0.18,0.0,0.005666026871401152,0.04593577981651376,0.01172471675852718
New Jersey,34000,0.23,0.6000000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010749340893482893
New Mexico,35000,0.24,0.58,0.18,0.0,0.005666026871401152,0.04593577981651376,0.011554735952385145
New York,36000,0.22,0.62,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010862661430910915
North Carolina,37000,0.24,0.5900000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010692680624768882
North Dakota,38000,0.24,0.61,0.15,0.0,0.005666026871401152,0.04593577981651376,0.010346643364031767
Ohio,39000,0.23,0.6,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011208698691648032
Oklahoma,40000,0.26,0.59,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010692680624768882
Oregon,41000,0.22,0.6000000000000001,0.18,0.0,0.005666026871401152,0.04593577981651376,0.011668056489813169
Pennsylvania,42000,0.22,0.5900000000000001,0.18,0.0,0.005666026871401152,0.04593577981651376,0.011611396221099158
Rhode Island,44000,0.2,0.63,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011378679497790065
South Carolina,45000,0.23,0.5900000000000001,0.18,0.0,0.005666026871401152,0.04593577981651376,0.011611396221099158
South Dakota,46000,0.26,0.5800000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.01063602035605487
Tennessee,47000,0.24,0.6,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010749340893482893
Texas,48000,0.27,0.59,0.13,0.0,0.005666026871401152,0.04593577981651376,0.00931460723027347
Utah,49000,0.31,0.58,0.11,0.0,0.005666026871401152,0.04593577981651376,0.008339231365229181
Vermont,50000,0.19,0.6,0.2,0.0,0.005666026871401152,0.04593577981651376,0.012586772086143444
Virginia,51000,0.24,0.6,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010749340893482893
Washington,53000,0.23,0.6100000000000001,0.16,0.0,0.005666026871401152,0.04593577981651376,0.010806001162196906
West Virginia,54000,0.21,0.59,0.2,0.0,0.005666026871401152,0.04593577981651376,0.012530111817429433
Wisconsin,55000,0.23,0.6000000000000001,0.17,0.0,0.005666026871401152,0.04593577981651376,0.011208698691648032
Wyoming,56000,0.24,0.5800000000000001,0.17,0.0,0.005666026871401152,0.04593577981651376,0.01109537815422001
Puerto Rico,72000,0.2,0.6000000000000001,0.21,0.0,0.005666026871401152,0.04593577981651376,0.013046129884308581
